Iterasyon,PSO_Sphere,Fly_Sphere,PSO_Rastrigin,Fly_Rastrigin
36,1.2937265191428904e-12,0.010536981746554375,0.0,1.0058155059814453
37,2.60016346561448e-13,0.010536981746554375,0.0,1.0058155059814453
38,2.60016346561448e-13,0.010536981746554375,0.0,1.0058155059814453
39,2.60016346561448e-13,0.010536981746554375,0.0,1.0058155059814453
40,1.0029947521399823e-13,0.010536981746554375,0.0,1.0058155059814453
41,1.5679160918278916e-14,0.010536981746554375,0.0,1.0058155059814453
42,1.5679160918278916e-14,0.010536981746554375,0.0,1.0058155059814453
43,9.587100061850436e-16,0.010536981746554375,0.0,1.0058155059814453
44,9.587100061850436e-16,0.010536981746554375,0.0,1.0058155059814453
45,9.587100061850436e-16,0.010536981746554375,0.0,1.0058155059814453
46,9.587100061850436e-16,0.010536981746554375,0.0,1.0058155059814453
47,9.587100061850436e-16,0.010536981746554375,0.0,1.0058155059814453
48,1.4603603722871766e-16,0.010536981746554375,0.0,1.0058155059814453
49,1.4603603722871766e-16,0.010536981746554375,0.0,1.0058155059814453
50,1.4603603722871766e-16,0.010536981746554375,0.0,1.0058155059814453
51,1.4603603722871766e-16,0.010536981746554375,0.0,1.0058155059814453
52,7.24685126072725e-17,0.010536981746554375,0.0,1.0058155059814453
53,8.85805880414866e-18,0.010536981746554375,0.0,1.0058155059814453
54,8.85805880414866e-18,0.010536981746554375,0.0,1.0058155059814453
55,8.687829997168922e-18,0.010536981746554375,0.0,1.0058155059814453
56,8.665238867459486e-18,0.010536981746554375,0.0,1.0058155059814453
57,5.292334232748467e-18,0.010536981746554375,0.0,1.0058155059814453
58,5.292334232748467e-18,0.010536981746554375,0.0,1.0058155059814453
59,5.292334232748467e-18,0.010536981746554375,0.0,1.0058155059814453
60,4.384013819548888e-19,0.010536981746554375,0.0,1.0058155059814453
61,4.384013819548888e-19,0.010536981746554375,0.0,1.0058155059814453
62,4.384013819548888e-19,0.010536981746554375,0.0,1.0058155059814453
63,7.504381557415963e-20,0.010536981746554375,0.0,1.0058155059814453
64,3.271994338545049e-20,0.010536981746554375,0.0,1.0058155059814453
65,9.030413142185232e-21,0.010536981746554375,0.0,1.0058155059814453
66,9.030413142185232e-21,0.010536981746554375,0.0,1.0058155059814453
67,9.030413142185232e-21,0.010536981746554375,0.0,1.0058155059814453
68,7.794063277547587e-21,0.010536981746554375,0.0,1.0058155059814453
69,7.794063277547587e-21,0.010536981746554375,0.0,1.0058155059814453
70,4.4360251310476e-22,0.010536981746554375,0.0,1.0058155059814453
71,4.4360251310476e-22,0.010536981746554375,0.0,1.0058155059814453
72,4.4360251310476e-22,0.010536981746554375,0.0,1.0058155059814453
73,4.4360251310476e-22,0.010536981746554375,0.0,1.0058155059814453
74,4.4360251310476e-22,0.010536981746554375,0.0,1.0058155059814453
75,4.4360251310476e-22,0.010536981746554375,0.0,1.0058155059814453
76,4.4360251310476e-22,0.010536981746554375,0.0,1.0058155059814453
77,8.056354328362487e-23,0.010536981746554375,0.0,1.0058155059814453
78,8.056354328362487e-23,0.010536981746554375,0.0,1.0058155059814453
79,7.179052018246612e-23,0.010536981746554375,0.0,1.0058155059814453
80,7.986449498132417e-25,0.010536981746554375,0.0,1.0058155059814453
81,7.986449498132417e-25,0.010536981746554375,0.0,1.0058155059814453
82,7.986449498132417e-25,0.010536981746554375,0.0,1.0046501159667969
83,7.986449498132417e-25,0.010536981746554375,0.0,1.0046501159667969
84,7.986449498132417e-25,0.010536981746554375,0.0,1.0046501159667969
85,3.653521768274443e-25,0.010536981746554375,0.0,1.0046501159667969
86,2.2769550513211858e-25,0.010536981746554375,0.0,1.0046501159667969
87,4.750235333609164e-26,0.010536981746554375,0.0,1.0046501159667969
88,1.703756823044262e-26,0.010536981746554375,0.0,1.0046501159667969
