Senaryo_ID,Boyut 1 (Enerji),Boyut 2 (Ödül)
290,-0.066279225,0.9459745
291,-0.066275254,0.9459635
292,-0.11620082,0.47030652
293,-0.09695145,0.662566
294,0.06764365,-0.93859124
295,-0.0886925,0.7513161
296,0.0661466,-0.9456071
297,-0.05324783,0.8987164
298,0.06764365,-0.93859124
299,-0.080639616,0.807149
300,0.06631804,-0.946082
301,-0.07168157,0.68925244
302,-0.06698587,0.7693296
303,0.06764365,-0.93859124
304,-0.06764365,0.93859124
305,0.0769959,-0.7189178
306,-0.06764365,0.93859124
307,-0.121696025,0.4185518
308,-0.06764365,0.93859124
309,0.05324743,-0.89871526
310,-0.053807165,0.54306114
311,-0.11711669,0.46168074
312,0.08056222,-0.8069346
313,0.0532476,-0.89871573
314,0.06764365,-0.93859124
315,-0.06764365,0.93859124
316,0.15556705,-0.110515654
317,0.080578364,-0.8069793
318,-0.08055235,0.80690724
319,0.06694424,-0.9366539
320,-0.08057523,0.80697066
321,-0.06764365,0.93859124
322,0.06953991,-0.8768678
323,-0.11620082,0.47030652
324,0.11620082,-0.47030652
325,0.15556705,-0.110515654
326,-0.05324732,0.89871496
327,-0.06764365,0.93859124
328,0.06764365,-0.93859124
329,0.08062339,-0.80710405
330,0.06764365,-0.93859124
331,0.053247318,-0.89871496
332,0.06764365,-0.93859124
333,-0.062449425,0.94090426
334,-0.06764365,0.93859124
335,-0.06764365,0.93859124
336,0.06764365,-0.93859124
337,0.06764365,-0.93859124
338,0.046168618,-0.92953813
339,-0.08066127,0.80720896
340,0.06698587,-0.7693296
341,0.06764365,-0.93859124
342,-0.06764365,0.93859124
343,0.06619903,-0.9457524
344,-0.0769959,0.7189178
345,-0.15556705,0.110515654
346,-0.06674391,0.93609905
347,-0.06764365,0.93859124
348,-0.080642976,0.8071583
349,-0.05324736,0.8987151
350,-0.16491929,-0.109157756
351,-0.17753175,-0.08538525
352,0.024499383,-0.8190864
353,-0.1821111,-0.12851422
354,-0.1748164,-0.08174382
355,-0.06698587,0.7693296
356,0.05540218,-0.65910554
357,0.06764365,-0.93859124
358,-0.066953875,0.9366806
359,-0.06764365,0.93859124
360,0.0532478,-0.89871633
361,-0.066944666,0.9366551
362,0.05324771,-0.89871603
363,0.09695145,-0.662566
364,-0.047063433,0.9211141
365,0.039641257,-0.81460226
366,-0.053247306,0.89871496
367,-0.11620082,0.47030652
368,-0.08061428,0.80707884
369,0.1748164,0.08174382
370,0.11620082,-0.47030652
371,-0.1821111,-0.12851422
372,0.11620082,-0.47030652
373,-0.11620082,0.47030652
374,-0.11891617,0.4666651
375,-0.1748164,-0.08174382
376,0.11620082,-0.47030652
377,0.06698587,-0.7693296
378,0.055977874,-0.76862156
379,0.02392248,0.70166355
380,-0.06764059,0.9605518
381,-0.088692464,0.751316
382,-0.06698587,0.7693296
383,0.1748164,0.08174382
384,-0.12439877,0.4260381
385,-0.08057075,0.80695826
386,-0.053247314,0.89871496
387,0.06764365,-0.93859124
388,0.03165767,-0.21380606
389,-0.08055924,0.80692637
390,0.06649444,-0.94657063
391,0.053247772,-0.8987162
392,0.035980307,-0.8491124
393,-0.18301792,-0.12604599
394,-0.09605171,0.6600738
395,-0.0886925,0.7513161
396,-0.08059251,0.8070185
397,0.08689299,-0.74633163
398,0.15556705,-0.110515654
399,-0.05324731,0.89871496
400,0.06764365,-0.93859124
401,-0.08054899,0.80689794
402,0.024885375,-0.83685595
403,0.068543375,-0.9410833
404,-0.0886925,0.7513161
405,0.06764365,-0.93859124
406,0.12440234,-0.42600438
407,-0.015216254,0.71853995
408,-0.06698587,0.7693296
409,-0.06652936,0.9466674
410,-0.09326281,0.71928114
411,-0.05324731,0.89871496
412,-0.11620082,0.47030652
413,-0.03598029,0.8491123
414,0.08055346,-0.80691034
415,-0.06698587,0.7693296
416,-0.06764365,0.93859124
417,-0.086892985,0.74633163
418,0.05324748,-0.89871544
419,0.17939928,0.12486304
420,-0.05324732,0.89871496
421,-0.09326281,0.71928114
422,-0.11620082,0.47030652
423,-0.06764365,0.93859124
424,-0.06764365,0.93859124
425,0.066609085,-0.9468882
426,-0.06698567,0.7693315
427,0.08056757,-0.80694944
428,-0.11620082,0.47030652
429,0.04098245,-0.9098514
430,-0.053247526,0.89871556
431,-0.08056512,0.80694264
432,-0.08065686,0.80719674
433,0.1748164,0.08174382
434,-0.06624918,0.94589126
435,0.06764365,-0.93859124
436,-0.11891617,0.4666651
437,0.11620082,-0.47030652
438,0.15556705,-0.110515654
439,-0.06764365,0.93859124
440,0.121696025,-0.4185518
441,0.080661766,-0.8072103
442,0.08058433,-0.80699587
443,-0.06698587,0.7693296
444,-0.05367695,0.91660535
445,-0.03165767,0.21380606
446,-0.06698587,0.7693296
447,-0.17847988,-0.11624695
448,0.1748164,0.08174382
449,0.053247638,-0.89871585
450,0.15556705,-0.110515654
451,0.15971488,0.13985838
452,0.06764365,-0.93859124
453,-0.08055081,0.806903
454,0.11620082,-0.47030652
455,-0.12440234,0.42600438
456,0.15556705,-0.110515654
457,-0.080558755,0.806925
458,0.12439877,-0.4260381
459,0.11620082,-0.47030652
