Iterasyon,PSO_Sphere,Fly_Sphere,PSO_Rastrigin,Fly_Rastrigin
70,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
71,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
72,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
73,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
74,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
75,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
76,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
77,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
78,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
79,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
80,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
81,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
82,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
83,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
84,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
85,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
86,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
87,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
88,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
89,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
90,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
91,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
92,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
93,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
94,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
95,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
96,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
97,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
98,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
99,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
100,4.353595173256508e-08,8.755956315553703e-08,0.000179290771484375,0.020296096801757812
